"","Nombre","Altitud(msnm)","Superficie(km2)","Poblacion(hab)","Densidad_pob(hab/km2)","Latitud","Longitud","Pais"
"568","Mislata",30,2.06,43691,21209.22,39.4747357,-0.4160286,"España"
"569","Mollerussa",255,7.05,14683,2082.7,41.631666666667,0.89611111111111,"España"
"570","Montélimar",91,46.81,39097,835.23,44.558611111111,4.7508333333333,"Francia"
"571","Monzón",279,155.01,17236,111.19,41.9,0.18333333333333,"España"
"572","Mulhouse",247,22.18,110612,4934.31,47.748611111111,7.3391666666667,"Francia"
"573","Muro de Alcoy",410,30.24,9324,308.33,38.779722222222,-0.43611111111111,"España"
"574","Nancy",206,15.01,105743,6947.77,48.692777777778,6.1836111111111,"Francia"
"575","Nantes",15,65.19,314503,4490,47.217222222222,-1.5538888888889,"Francia"
"576","Nîmes",55,161.85,150610,930.55,43.836944444444,4.36,"Francia"
"577","Olot",4434,29.1,35228,1210.58,42.1821928,2.4890165,"España"
